carrier,name,ambulance,application_fee,baby_care,brand_drugs,chiropractic,coinsurance,deductible,emergency_room,generic_drugs,hospitalization,hsa_eligible,labor,lifetime_maximum,mail_order_drugs,mental_health,obgyn_exam,oon_authorization,oon_coinsurance,oon_coverage,oon_deductible,oon_oop_limit,oop_limit,out_of_country,pcp_required,pcp_visit,periodic_exam,plan_type,prenatal_office_visit,separate_rx_deductible,specialist_referrals_required,specialist_visit,specialty_drugs,substance_abuse,surgery,urgent_care,xray
Aetna,CA Bronze Basic HMO Deductible 5500,$150 copay per trip,None,No charge,$150,"$15 copay/visit, deductible waived  and Acupuncture",50%,"$5,500 individual / 11000 family",50% coinsurance,$75,50% coinsurance,No,50% coinsurance,None,"","$50 copay/visit, deductible waived",No charge,"",None,No,None,None,"$6,600 individual / 13200 family",Emergency Coverage Only,Yes,"$50 copay/visit, deductible waived",No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,"$75 copay/visit, deductible waived",30%,"$50 copay/visit, deductible waived",50% coinsurance,"$50 copay/visit, deductible waived","Minor: $75 copay/visit, deductible waived; Major: $500 copay/visit, deductible waived"
Aetna,CA Bronze HMO Deductible 5500,$150 copay/trip,None,No charge,$150,"$15 copay/visit, deductible waived  and Acupuncture",50%,"$5,500 individual / 11000 family",50% coinsurance,$75,50% coinsurance,No,50% coinsurance,None,"","$50 copay/visit, deductible waived",No charge,"",None,No,None,None,"$6,600 individual / 13200 family",Emergency Coverage Only,Yes,"$50 copay/visit, deductible waived",No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,"$75 copay/visit, deductible waived",30%,"$50 copay/visit, deductible waived",50% coinsurance,"$50 copay/visit, deductible waived","Minor: $75 copay/visit, deductible waived; Major: $500 copay/visit, deductible waived"
Aetna,CA Bronze HMO Deductible Plan,$300 copay/trip,None,No charge,$75,"$60 copay/visit, for Acupuncture",30%,"$5,000 individual / 10000 family",$300 copay/visit,$50,30% coinsurance,No,30% coinsurance,None,"","$60 copay/visit, deductible waived for visits 1-3; $60 copay/visit thereafter",No charge,"",None,No,None,None,"$6,250 individual / 12500 family",Emergency Coverage Only,Yes,"$60 copay/visit, deductible waived for visits 1-3; $60 copay/visit thereafter",No charge,HMO,Prenatal: No charge after deductible; Postnatal: 30% coinsurance,Medical Deductible Applies,Yes,$70 copay/visit,30%,"$60 copay/visit, deductible waived for visits 1-3; $60 copay/visit thereafter",30% coinsurance,"$120 copay/visit, deductible waived for visits 1-3; $120 copay/visit thereafter",Minor: 30% coinsurance; Major: 30% coinsurance
Aetna,CA Bronze MC 3500 50/50,50% coinsurance,None,No charge,$100,50% coinsurance  and acupuncture,50%,"$3,500 individual / 7000 family",50% coinsurance,$50,50% coinsurance,No,50% coinsurance,None,"",Outpatient office visits: 50% coinsurance; All other outpatient services: No charge after deductible,No charge,"",N/A,Yes,"$7,000 individual / 14000 family","$12,700 individual / 25400 family","$6,600 individual / 13200 family",Emergency Coverage Only,Yes,50% coinsurance,No charge,POS,No charge after deductible,Medical Deductible Applies,Yes,50% coinsurance,50%,Outpatient office visits: 50% coinsurance; All other outpatient services: No charge after deductible,50% coinsurance,50% coinsurance,Minor: 50% coinsurance; Major: 50% coinsurance
Aetna,CA Bronze MC 4000 Copay Plan,$200 copay/trip,None,No charge,$150,"$50 copay/visit ; $50 copay/visit, deductible waived for acupuncture",0%,"$4,000 individual / 8000 family",$500 copay/visit,$100,$750 copay/admission,No,$750 copay/admission,None,"","Outpatient office visits:$75 copay/visit, deductible waived; All other outpatient services: No charge",No charge,"",N/A,Yes,"$8,000 individual / 16000 family","$12,700 individual / 25400 family","$6,600 individual / 13200 family",Emergency Coverage Only,Yes,"$50 copay/visit, deductible waived",No charge,POS,No charge after deductible,Medical Deductible Applies,Yes,$75 copay/visit,30%,"Outpatient office visits:$75 copay/visit, deductible waived; All other outpatient services: No charge",0% coinsurance,"$50 copay/visit, deductible waived",Minor: $125 copay/visit; Major: $500 copay/visit
Aetna,CA Bronze MC 6600 100/50,0% coinsurance,None,No charge,0%,"0% coinsurance ; $25 copay/visit, deductible waived for acupuncture",0%,"$6,660 individual / 13200 family",0% coinsurance,0%,0% coinsurance,No,0% coinsurance,None,"","Outpatient office visits:$75 copay/visit, deductible waived; All other outpatient services: No charge",No charge,"",N/A,Yes,"$13,200 individual / 26400 family","$16,500 individual / 33000 family","$6,660 individual / 13200 family",Emergency Coverage Only,Yes,"$25 copay/visit, deductible waived",No charge,POS,No charge after deductible,Medical Deductible Applies,Yes,"$75 copay/visit, deductible waived",0%,"Outpatient office visits:$75 copay/visit, deductible waived; All other outpatient services: No charge",0% coinsurance,"$50 copay/visit, deductible waived","Minor: $150 copay/visit, deductible waived; Major: 0% coinsurance"
Aetna,CA Bronze MC HSA 2500 50/50,50% coinsurance,None,No charge,50%,50% coinsurance  and acupuncture,50%,"$2,500 individual / 5000 family",50% coinsurance,50%,50% coinsurance,Yes,50% coinsurance,None,"",Outpatient office visits: 50% coinsurance; All other outpatient services: No charge after deductible,No charge,"",N/A,Yes,"$5,000 individual / 10000 family","$12,700 individual / 25400 family","$6,350 individual / 12700 family",Emergency Coverage Only,Yes,50% coinsurance,No charge,POS,No charge after deductible,Medical Deductible Applies,Yes,50% coinsurance,30%,Outpatient office visits: 50% coinsurance; All other outpatient services: No charge after deductible,50% coinsurance,50% coinsurance,Minor: 50% coinsurance; Major: 50% coinsurance
Aetna,CA Bronze MC HSA 3500 70/50,30% coinsurance,None,No charge,$100 after deductible,30% coinsurance  and acupuncture,30%,"$3,500 individual / 7000 family",30% coinsurance,$40 after deductible,30% coinsurance,Yes,30% coinsurance,None,"",Outpatient office visits: 30% coinsurance; All other outpatient services: No charge after deductible,No charge,"",N/A,Yes,"$7,000 individual / 14000 family","$12,700 individual / 25400 family","$6,350 individual / 12700 family",Emergency Coverage Only,Yes,30% coinsurance,No charge,POS,No charge after deductible,Medical Deductible Applies,Yes,30% coinsurance,30%,Outpatient office visits: 30% coinsurance; All other outpatient services: No charge after deductible,30% coinsurance,30% coinsurance,Minor: 30% coinsurance; Major: 30% coinsurance
Aetna,CA Bronze MC HSA 6300 100/50,0% coinsurance,None,No charge,0%,0% coinsurance  and acupuncture,0%,"$6,300 individual / 12600 family",0% coinsurance,0%,0% coinsurance,Yes,0% coinsurance,None,"",Outpatient office visits: 0% coinsurance; All other outpatient services: No charge after deductible,No charge,"",N/A,Yes,"$12,600 individual / 25200 family","$15,750 individual / 31500 family","$6,300 individual / 12600 family",Emergency Coverage Only,Yes,0% coinsurance,No charge,POS,No charge after deductible,Medical Deductible Applies,Yes,0% coinsurance,0%,Outpatient office visits: 0% coinsurance; All other outpatient services: No charge after deductible,0% coinsurance,0% coinsurance,Minor: 0% coinsurance; Major: 0% coinsurance
Aetna,CA Bronze MC Plan,$300 copay/trip,None,No charge,$75,$60 copay/visit for acupuncture,30%,"$5,000 individual / 10000 family",$300 copay/visit,$50,30% coinsurance,No,30% coinsurance,None,"","$60 copay/visit, deductible waived for visits 1-3; $60 copay/visit thereafter",No charge,"",N/A,Yes,"$10,000 individual / 20000 family","$12,500 individual / 25000 family","$6,250 individual / 12500 family",Emergency Coverage Only,Yes,"$60 copay/visit, deductible waived for visits 1-3",No charge,POS,Prenatal: No charge after deductible; Postnatal: 30% coinsurance,Medical Deductible Applies,Yes,$70 copay/visit,30%,"$60 copay/visit, deductible waived for visits 1-3; $60 copay/visit thereafter",30% coinsurance,"$120 copay/visit, deductible waived for visits 1-3",Minor: 30% coinsurance; Major: 30% coinsurance
